"","geoid","USPS","pop2010"
"1","48301","TX",82
"2","15005","HI",90
"3","48269","TX",286
"4","48261","TX",416
"5","31005","NE",460
"6","31009","NE",478
"7","30069","MT",494
"8","31117","NE",539
"9","31075","NE",614
"10","31115","NE",632
"11","48033","TX",641
"12","31171","NE",647
"13","02282","AK",662
"14","31007","NE",690
"15","35021","NM",695
"16","08111","CO",699
"17","48311","TX",707
"18","08079","CO",712
"19","30103","MT",718
"20","38087","ND",727
"21","31091","NE",736
"22","31113","NE",763
"23","32009","NV",783
"24","38007","ND",783
"25","48263","TX",808
"26","31183","NE",818
"27","31103","NE",824
"28","08053","CO",843
"29","30037","MT",884
"30","48393","TX",929
"31","31085","NE",967
"32","02230","AK",968
"33","16033","ID",982
"34","48443","TX",984
"35","02060","AK",997
"36","46075","SD",1006
"37","30109","MT",1017
"38","49009","UT",1059
"39","16025","ID",1117
"40","48431","TX",1143
"41","30011","MT",1160
"42","06003","CA",1175
"43","30079","MT",1179
"44","30033","MT",1206
"45","48345","TX",1210
"46","48173","TX",1226
"47","20071","KS",1247
"48","46063","SD",1255
"49","31165","NE",1311
"50","38083","ND",1321
"51","48155","TX",1336
"52","46119","SD",1373
"53","08057","CO",1394
"54","08061","CO",1398
"55","28055","MS",1406
"56","46069","SD",1420
"57","41069","OR",1441
"58","46021","SD",1466
"59","20199","KS",1485
"60","48433","TX",1490
"61","48101","TX",1505
"62","31149","NE",1526
"63","49031","UT",1556
"64","48235","TX",1599
"65","02164","AK",1631
"66","48045","TX",1637
"67","48447","TX",1641
"68","38033","ND",1680
"69","13265","GA",1717
"70","30055","MT",1734
"71","30075","MT",1743
"72","20101","KS",1750
"73","30019","MT",1751
"74","41055","OR",1765
"75","72049","PR",1818
"76","02068","AK",1826
"77","08017","CO",1836
"78","38065","ND",1846
"79","41021","OR",1871
"80","20033","KS",1891
"81","30059","MT",1891
"82","48011","TX",1901
"83","46017","SD",1912
"84","20083","KS",1916
"85","46055","SD",1937
"86","31049","NE",1941
"87","38013","ND",1968
"88","38091","ND",1975
"89","32011","NV",1987
"90","38047","ND",1990
"91","48137","TX",2002
"92","31057","NE",2008
"93","35011","NM",2022
"94","31073","NE",2044
"95","46095","SD",2048
"96","31071","NE",2049
"97","48359","TX",2052
"98","31069","NE",2057
"99","08033","CO",2064
"100","38023","ND",2071
"101","46073","SD",2071
"102","30045","MT",2072
"103","31015","NE",2099
"104","02105","AK",2150
"105","26083","MI",2156
"106","30107","MT",2168
"107","29227","MO",2171
"108","20025","KS",2215
"109","20203","KS",2234
"110","20187","KS",2235
"111","48327","TX",2242
"112","38095","ND",2246
"113","49033","UT",2264
"114","53023","WA",2266
"115","21201","KY",2282
"116","51091","VA",2321
"117","46107","SD",2329
"118","30051","MT",2339
"119","48243","TX",2342
"120","38001","ND",2343
"121","46111","SD",2355
"122","46049","SD",2364
"123","02275","AK",2369
"124","08115","CO",2379
"125","38027","ND",2385
"126","46097","SD",2389
"127","38037","ND",2394
"128","48109","TX",2398
"129","38039","ND",2420
"130","38043","ND",2435
"131","48125","TX",2444
"132","46089","SD",2459
"133","38075","ND",2470
"134","40025","OK",2475
"135","38041","ND",2477
"136","56027","WY",2484
"137","02100","AK",2508
"138","13239","GA",2513
"139","20153","KS",2519
"140","31077","NE",2538
"141","20097","KS",2553
"142","20179","KS",2556
"143","20065","KS",2597
"144","20075","KS",2690
"145","20063","KS",2695
"146","46003","SD",2710
"147","20023","KS",2726
"148","20109","KS",2756
"149","31063","NE",2756
"150","31133","NE",2773
"151","49055","UT",2778
"152","20017","KS",2790
"153","13307","GA",2799
"154","46137","SD",2801
"155","38051","ND",2809
"156","20049","KS",2882
"157","30025","MT",2890
"158","16023","ID",2891
"159","31087","NE",2908
"160","40057","OK",2922
"161","20039","KS",2961
"162","46117","SD",2966
"163","31135","NE",2970
"164","46105","SD",2982
"165","20195","KS",3001
"166","46043","SD",3002
"167","46071","SD",3031
"168","48421","TX",3034
"169","20047","KS",3037
"170","48087","TX",3057
"171","20089","KS",3077
"172","30039","MT",3079
"173","13125","GA",3082
"174","20135","KS",3107
"175","38063","ND",3126
"176","48079","TX",3127
"177","02013","AK",3141
"178","31017","NE",3145
"179","38011","ND",3151
"180","31163","NE",3152
"181","13061","GA",3183
"182","31061","NE",3225
"183","20129","KS",3233
"184","06091","CA",3240
"185","20105","KS",3241
"186","48295","TX",3302
"187","20165","KS",3307
"188","20207","KS",3309
"189","48385","TX",3309
"190","48081","TX",3320
"191","46061","SD",3331
"192","38031","ND",3343
"193","48191","TX",3353
"194","48461","TX",3355
"195","48383","TX",3367
"196","48417","TX",3378
"197","30091","MT",3384
"198","31083","NE",3423
"199","46007","SD",3431
"200","46059","SD",3431
"201","13007","GA",3451
"202","48413","TX",3461
"203","48229","TX",3476
"204","08023","CO",3524
"205","38025","ND",3536
"206","38029","ND",3550
"207","27155","MN",3558
"208","48271","TX",3598
"209","40129","OK",3647
"210","30097","MT",3651
"211","20019","KS",3669
"212","48129","TX",3677
"213","40059","OK",3685
"214","46025","SD",3691
"215","48105","TX",3719
"216","48275","TX",3719
"217","35003","NM",3725
"218","48023","TX",3726
"219","31125","NE",3735
"220","46085","SD",3755
"221","29129","MO",3785
"222","08009","CO",3788
"223","48211","TX",3807
"224","31181","NE",3812
"225","02195","AK",3815
"226","16061","ID",3821
"227","31105","NE",3821
"228","38081","ND",3829
"229","20183","KS",3853
"230","20141","KS",3858
"231","51720","VA",3958
"232","31029","NE",3966
"233","48151","TX",3974
"234","16003","ID",3976
"235","20093","KS",3977
"236","53069","WA",3978
"237","38019","ND",3993
"238","32029","NV",4010
"239","48319","TX",4012
"240","19003","IA",4029
"241","13101","GA",4034
"242","27077","MN",4045
"243","46031","SD",4050
"244","46045","SD",4071
"245","53013","WA",4078
"246","48095","TX",4087
"247","27125","MN",4089
"248","48435","TX",4128
"249","29103","MO",4131
"250","38045","ND",4139
"251","48197","TX",4139
"252","40045","OK",4151
"253","38085","ND",4153
"254","38103","ND",4207
"255","30061","MT",4223
"256","55078","WI",4232
"257","30071","MT",4253
"258","08027","CO",4255
"259","20081","KS",4256
"260","31175","NE",4260
"261","46053","SD",4271
"262","16071","ID",4286
"263","17069","IL",4320
"264","38069","ND",4357
"265","46039","SD",4364
"266","16037","ID",4368
"267","48103","TX",4375
"268","37177","NC",4407
"269","55037","WI",4423
"270","29197","MO",4431
"271","08091","CO",4436
"272","20185","KS",4437
"273","08095","CO",4442
"274","17151","IL",4470
"275","31129","NE",4500
"276","40053","OK",4527
"277","30065","MT",4538
"278","35059","NM",4549
"279","27069","MN",4552
"280","20119","KS",4575
"281","48267","TX",4607
"282","46091","SD",4656
"283","35019","NM",4687
"284","51017","VA",4731
"285","21189","KY",4755
"286","32021","NV",4772
"287","48317","TX",4799
"288","40043","OK",4810
"289","56017","WY",4812
"290","08121","CO",4814
"291","36041","NY",4836
"292","29199","MO",4843
"293","02070","AK",4847
"294","20007","KS",4861
"295","35033","NM",4881
"296","35023","NM",4894
"297","21105","KY",4902
"298","29087","MO",4912
"299","28125","MS",4916
"300","20171","KS",4936
"301","48333","TX",4936
"302","31065","NE",4959
"303","29171","MO",4979
"304","20157","KS",4980
"305","13249","GA",5010
"306","31123","NE",5042
"307","47137","TN",5077
"308","42023","PA",5085
"309","17013","IL",5089
"310","21039","KY",5104
"311","19159","IA",5131
"312","46077","SD",5148
"313","49017","UT",5172
"314","27031","MN",5176
"315","20163","KS",5181
"316","51045","VA",5190
"317","16063","ID",5208
"318","31097","NE",5217
"319","31169","NE",5228
"320","48119","TX",5231
"321","22107","LA",5252
"322","46015","SD",5255
"323","27011","MN",5269
"324","38021","ND",5289
"325","48247","TX",5300
"326","46041","SD",5301
"327","30101","MT",5324
"328","32017","NV",5345
"329","17171","IL",5355
"330","05013","AR",5368
"331","38049","ND",5395
"332","31143","NE",5406
"333","48483","TX",5410
"334","27087","MN",5413
"335","46129","SD",5438
"336","08047","CO",5441
"337","38073","ND",5457
"338","08073","CO",5467
"339","31161","NE",5469
"340","31011","NE",5505
"341","47175","TN",5548
"342","02198","AK",5559
"343","02016","AK",5561
"344","02290","AK",5588
"345","17059","IL",5589
"346","30007","MT",5612
"347","48195","TX",5613
"348","46087","SD",5618
"349","40007","OK",5636
"350","20147","KS",5642
"351","40003","OK",5642
"352","46123","SD",5644
"353","20137","KS",5671
"354","29005","MO",5685
"355","46037","SD",5710
"356","31031","NE",5713
"357","54105","WV",5717
"358","20189","KS",5724
"359","32015","NV",5775
"360","20201","KS",5799
"361","37095","NC",5810
"362","30015","MT",5813
"363","08025","CO",5823
"364","13301","GA",5834
"365","31059","NE",5890
"366","27081","MN",5896
"367","48207","TX",5899
"368","46057","SD",5903
"369","48305","TX",5915
"370","55051","WI",5916
"371","20127","KS",5923
"372","40029","OK",5925
"373","51595","VA",5927
"374","51580","VA",5961
"375","16007","ID",5986
"376","17175","IL",5994
"377","31051","NE",6000
"378","17155","IL",6006
"379","20069","KS",6006
"380","20181","KS",6010
"381","27051","MN",6018
"382","20077","KS",6034
"383","13259","GA",6058
"384","48107","TX",6059
"385","48205","TX",6062
"386","30099","MT",6073
"387","20143","KS",6091
"388","08109","CO",6108
"389","19009","IA",6119
"390","13201","GA",6125
"391","18115","IN",6128
"392","31167","NE",6129
"393","48411","TX",6131
"394","30073","MT",6153
"395","17153","IL",6161
"396","48065","TX",6182
"397","40033","OK",6193
"398","51515","VA",6222
"399","40055","OK",6239
"400","29035","MO",6265
"401","31093","NE",6274
"402","72093","PR",6276
"403","21165","KY",6306
"404","50009","VT",6306
"405","19173","IA",6317
"406","38053","ND",6360
"407","47127","TN",6362
"408","20123","KS",6373
"409","29205","MO",6373
"410","19185","IA",6403
"411","46115","SD",6415
"412","42113","PA",6428
"413","38009","ND",6429
"414","48153","TX",6446
"415","48169","TX",6461
"416","19143","IA",6462
"417","40067","OK",6472
"418","46101","SD",6486
"419","31099","NE",6489
"420","30005","MT",6491
"421","20053","KS",6497
"422","08011","CO",6499
"423","31035","NE",6542
"424","27167","MN",6576
"425","49001","UT",6629
"426","26095","MI",6631
"427","51530","VA",6650
"428","38005","ND",6660
"429","08103","CO",6666
"430","31003","NE",6685
"431","20073","KS",6689
"432","13037","GA",6694
"433","29179","MO",6696
"434","48111","TX",6703
"435","08055","CO",6711
"436","29211","MO",6714
"437","17047","IL",6721
"438","29075","MO",6738
"439","32027","NV",6753
"440","26131","MI",6780
"441","13065","GA",6798
"442","21075","KY",6813
"443","47067","TN",6819
"444","51021","VA",6824
"445","22023","LA",6839
"446","27107","MN",6852
"447","21057","KY",6856
"448","31021","NE",6858
"449","13263","GA",6865
"450","13283","GA",6885
"451","48283","TX",6886
"452","17009","IL",6937
"453","31173","NE",6940
"454","51097","VA",6945
"455","16029","ID",6963
"456","20167","KS",6970
"457","50013","VT",6970
"458","20145","KS",6973
"459","41063","OR",7008
"460","30077","MT",7027
"461","16015","ID",7028
"462","02240","AK",7029
"463","48075","TX",7041
"464","51640","VA",7042
"465","51678","VA",7042
"466","20197","KS",7053
"467","51181","VA",7058
"468","46009","SD",7070
"469","56011","WY",7083
"470","19093","IA",7089
"471","46047","SD",7094
"472","48495","TX",7110
"473","49025","UT",7125
"474","21181","KY",7135
"475","29045","MO",7139
"476","54093","WV",7141
"477","48017","TX",7165
"478","56045","WY",7208
"479","48175","TX",7210
"480","48047","TX",7223
"481","31127","NE",7248
"482","51036","VA",7256
"483","27073","MN",7259
"484","05147","AR",7260
"485","31139","NE",7266
"486","08065","CO",7310
"487","19151","IA",7310
"488","17071","IL",7331
"489","46067","SD",7343
"490","21237","KY",7355
"491","46051","SD",7356
"492","08113","CO",7359
"493","30105","MT",7369
"494","51157","VA",7373
"495","48391","TX",7383
"496","38067","ND",7413
"497","13309","GA",7421
"498","41025","OR",7422
"499","19071","IA",7441
"500","41023","OR",7445
"501","02270","AK",7459
"502","55091","WI",7469
"503","18161","IN",7516
"504","02188","AK",7523
"505","40093","OK",7527
"506","17169","IL",7544
"507","31095","NE",7547
"508","53019","WA",7551
"509","19177","IA",7570
"510","19195","IA",7598
"511","54073","WV",7605
"512","54013","WV",7627
"513","05073","AR",7645
"514","38061","ND",7673
"515","19001","IA",7682
"516","30057","MT",7691
"517","54071","WV",7695
"518","42053","PA",7716
"519","13243","GA",7719
"520","28063","MS",7726
"521","22035","LA",7759
"522","16077","ID",7817
"523","48377","TX",7818
"524","20067","KS",7829
"525","29041","MO",7831
"526","47095","TN",7832
"527","31121","NE",7845
"528","21063","KY",7852
"529","48437","TX",7854
"530","20095","KS",7858
"531","47027","TN",7861
"532","47169","TN",7870
"533","48501","TX",7879
"534","29057","MO",7883
"535","21129","KY",7887
"536","41037","OR",7895
"537","20193","KS",7900
"538","47135","TN",7915
"539","16059","ID",7936
"540","20043","KS",7945
"541","19135","IA",7970
"542","40141","OK",7992
"543","13181","GA",7996
"544","48069","TX",8062
"545","20003","KS",8102
"546","05039","AR",8116
"547","28037","MS",8118
"548","38097","ND",8121
"549","05095","AR",8149
"550","05129","AR",8195
"551","54017","WV",8202
"552","46033","SD",8216
"553","28119","MS",8223
"554","17003","IL",8238
"555","21007","KY",8249
"556","08021","CO",8256
"557","08063","CO",8270
"558","48307","TX",8283
"559","21143","KY",8314
"560","05101","AR",8330
"561","13165","GA",8340
"562","46125","SD",8347
"563","31147","NE",8363
"564","12077","FL",8365
"565","31101","NE",8368
"566","13003","GA",8375
"567","31023","NE",8395
"568","38057","ND",8424
"569","47083","TN",8426
"570","29061","MO",8433
"571","04011","AZ",8437
"572","29203","MO",8441
"573","17065","IL",8457
"574","19053","IA",8457
"575","26153","MI",8485
"576","21023","KY",8488
"577","48425","TX",8490
"578","18171","IN",8508
"579","48193","TX",8517
"580","56043","WY",8533
"581","20027","KS",8535
"582","28019","MS",8547
"583","21091","KY",8565
"584","56019","WY",8569
"585","51620","VA",8582
"586","21077","KY",8589
"587","20031","KS",8601
"588","26135","MI",8640
"589","56031","WY",8667
"590","05025","AR",8689
"591","54021","WV",8693
"592","27029","MN",8695
"593","31107","NE",8701
"594","05117","AR",8715
"595","54075","WV",8719
"596","27101","MN",8725
"597","13253","GA",8729
"598","28009","MS",8729
"599","13197","GA",8742
"600","19051","IA",8753
"601","16035","ID",8761
"602","21223","KY",8809
"603","29137","MO",8840
"604","31027","NE",8852
"605","18007","IN",8854
"606","26013","MI",8860
"607","37075","NC",8861
"608","48405","TX",8865
"609","12067","FL",8870
"610","40151","OK",8878
"611","02220","AK",8881
"612","48083","TX",8895
"613","19117","IA",8898
"614","13269","GA",8906
"615","13287","GA",8930
"616","29081","MO",8957
"617","38055","ND",8962
"618","30021","MT",8966
"619","51115","VA",8978
"620","05099","AR",8997
"621","13289","GA",9023
"622","35037","NM",9041
"623","48237","TX",9044
"624","01063","AL",9045
"625","48009","TX",9054
"626","08019","CO",9088
"627","22081","LA",9091
"628","30095","MT",9117
"629","13209","GA",9123
"630","31081","NE",9124
"631","46023","SD",9129
"632","31039","NE",9139
"633","54101","WV",9154
"634","29125","MO",9176
"635","31045","NE",9182
"636","31137","NE",9188
"637","54095","WV",9208
"638","49019","UT",9225
"639","48043","TX",9232
"640","30087","MT",9233
"641","19133","IA",9243
"642","30001","MT",9246
"643","51159","VA",9254
"644","13315","GA",9255
"645","16009","ID",9285
"646","19039","IA",9286
"647","29033","MO",9295
"648","30023","MT",9298
"649","72147","PR",9301
"650","55041","WI",9304
"651","13273","GA",9315
"652","21055","KY",9315
"653","19073","IA",9336
"654","28053","MS",9375
"655","54015","WV",9386
"656","48335","TX",9403
"657","20205","KS",9409
"658","19147","IA",9421
"659","40085","OK",9423
"660","29025","MO",9424
"661","13141","GA",9429
"662","02185","AK",9430
"663","27089","MN",9439
"664","40075","OK",9446
"665","49029","UT",9469
"666","05097","AR",9487
"667","02180","AK",9492
"668","21139","KY",9519
"669","21149","KY",9531
"670","20029","KS",9533
"671","13155","GA",9538
"672","13319","GA",9563
"673","19089","IA",9566
"674","31179","NE",9595
"675","27117","MN",9596
"676","26003","MI",9601
"677","28021","MS",9604
"678","46121","SD",9612
"679","29085","MO",9627
"680","48429","TX",9630
"681","02261","AK",9636
"682","20107","KS",9656
"683","20151","KS",9656
"684","19025","IA",9670
"685","06049","CA",9686
"686","27133","MN",9687
"687","17079","IL",9698
"688","29153","MO",9723
"689","27149","MN",9726
"690","30083","MT",9746
"691","26119","MI",9765
"692","27151","MN",9783
"693","29185","MO",9805
"694","19091","IA",9815
"695","16085","ID",9862
"696","28157","MS",9878
"697","72083","PR",9881
"698","13167","GA",9980
"699","37029","NC",9980
"700","20013","KS",9984
