"","geoid","pop2010"
"1","01001",54571
"2","01003",182265
"3","01005",27457
"4","01007",22915
"5","01009",57322
"6","01011",10914
"7","01013",20947
"8","01015",118572
"9","01017",34215
"10","01019",25989
"11","01021",43643
"12","01023",13859
"13","01025",25833
"14","01027",13932
"15","01029",14972
"16","01031",49948
"17","01033",54428
"18","01035",13228
"19","01037",11539
"20","01039",37765
"21","01041",13906
"22","01043",80406
"23","01045",50251
"24","01047",43820
"25","01049",71109
"26","01051",79303
"27","01053",38319
"28","01055",104430
"29","01057",17241
"30","01059",31704
"31","01061",26790
"32","01063",9045
"33","01065",15760
"34","01067",17302
"35","01069",101547
"36","01071",53227
"37","01073",658466
"38","01075",14564
"39","01077",92709
"40","01079",34339
"41","01081",140247
"42","01083",82782
"43","01085",11299
"44","01087",21452
"45","01089",334811
"46","01091",21027
"47","01093",30776
"48","01095",93019
"49","01097",412992
"50","01099",23068
"51","01101",229363
"52","01103",119490
"53","01105",10591
"54","01107",19746
"55","01109",32899
"56","01111",22913
"57","01113",52947
"58","01115",83593
"59","01117",195085
"60","01119",13763
"61","01121",82291
"62","01123",41616
"63","01125",194656
"64","01127",67023
"65","01129",17581
"66","01131",11670
"67","01133",24484
"68","02013",3141
"69","02016",5561
"70","02020",291826
"71","02050",17013
"72","02060",997
"73","02068",1826
"74","02070",4847
"75","02090",97581
"76","02100",2508
"77","02105",2150
"78","02110",31275
"79","02122",55400
"80","02130",13477
"81","02150",13592
"82","02164",1631
"83","02170",88995
"84","02180",9492
"85","02185",9430
"86","02188",7523
"87","02195",3815
"88","02198",5559
"89","02220",8881
"90","02230",968
"91","02240",7029
"92","02261",9636
"93","02270",7459
"94","02275",2369
"95","02282",662
"96","02290",5588
"97","04001",71518
"98","04003",131346
"99","04005",134421
"100","04007",53597
"101","04009",37220
"102","04011",8437
"103","04012",20489
"104","04013",3817117
"105","04015",200186
"106","04017",107449
"107","04019",980263
"108","04021",375770
"109","04023",47420
"110","04025",211033
"111","04027",195751
"112","05001",19019
"113","05003",21853
"114","05005",41513
"115","05007",221339
"116","05009",36903
"117","05011",11508
"118","05013",5368
"119","05015",27446
"120","05017",11800
"121","05019",22995
"122","05021",16083
"123","05023",25970
"124","05025",8689
"125","05027",24552
"126","05029",21273
"127","05031",96443
"128","05033",61948
"129","05035",50902
"130","05037",17870
"131","05039",8116
"132","05041",13008
"133","05043",18509
"134","05045",113237
"135","05047",18125
"136","05049",12245
"137","05051",96024
"138","05053",17853
"139","05055",42090
"140","05057",22609
"141","05059",32923
"142","05061",13789
"143","05063",36647
"144","05065",13696
"145","05067",17997
"146","05069",77435
"147","05071",25540
"148","05073",7645
"149","05075",17415
"150","05077",10424
"151","05079",14134
"152","05081",13171
"153","05083",22353
"154","05085",68356
"155","05087",15717
"156","05089",16653
"157","05091",43462
"158","05093",46480
"159","05095",8149
"160","05097",9487
"161","05099",8997
"162","05101",8330
"163","05103",26120
"164","05105",10445
"165","05107",21757
"166","05109",11291
"167","05111",24583
"168","05113",20662
"169","05115",61754
"170","05117",8715
"171","05119",382748
"172","05121",17969
"173","05123",28258
"174","05125",107118
"175","05127",11233
"176","05129",8195
"177","05131",125744
"178","05133",17058
"179","05135",17264
"180","05137",12394
"181","05139",41639
"182","05141",17295
"183","05143",203065
"184","05145",77076
"185","05147",7260
"186","05149",22185
"187","06001",1510271
"188","06003",1175
"189","06005",38091
"190","06007",220000
"191","06009",45578
"192","06011",21419
"193","06013",1049025
"194","06015",28610
"195","06017",181058
"196","06019",930450
"197","06021",28122
"198","06023",134623
"199","06025",174528
"200","06027",18546
"201","06029",839631
"202","06031",152982
"203","06033",64665
"204","06035",34895
"205","06037",9818605
"206","06039",150865
"207","06041",252409
"208","06043",18251
"209","06045",87841
"210","06047",255793
"211","06049",9686
"212","06051",14202
"213","06053",415057
"214","06055",136484
"215","06057",98764
"216","06059",3010232
"217","06061",348432
"218","06063",20007
"219","06065",2189641
"220","06067",1418788
"221","06069",55269
"222","06071",2035210
"223","06073",3095313
"224","06075",805235
"225","06077",685306
"226","06079",269637
"227","06081",718451
"228","06083",423895
"229","06085",1781642
"230","06087",262382
"231","06089",177223
"232","06091",3240
"233","06093",44900
"234","06095",413344
"235","06097",483878
"236","06099",514453
"237","06101",94737
"238","06103",63463
